date;title;image;descriptionIn;starChosen;category;location;numberPeople;duration;whatYouNeed;postMessage;testMode;push
jederzeit;Skribbl online;skribbl.jpg;"Ihr malt gerne? Na dann ist Skribbl genau das richtige für Euch. Spielt online gegeneinander unter: <a href=""https://www.spielaffe.de/Spiel/Skribbl-io"">Skribbl</a>";False;Games@StayAtHome;Zu Hause;2+ Personen. Je mehr desto besser.;Abh&aumlngig von Dir!;Internet;;False;False
jederzeit;Online Party;party.jpg;Lasst uns in einem Video-Chat (Skype, Zoom, WhatsApp) eine gemeinsame Party feiern!;False;Keep in Touch@StayAtHome;Zu Hause;2+ Personen. Je mehr desto besser.;Mindestens eine, hoffentlich mehrere Stunden.;"Internet; Zoom; Deine Freunde; Booze";Viel Spaß beim Feiern.;False;False
jederzeit;Gemeinsames online Abendessen;esstisch.jpg;Startet ein gemeinsames Abendessen online, da wir uns gerade nicht treffen können.;False;Keep in Touch@StayAtHome;Zu Hause;2+ Personen. Je mehr desto besser.;Mindestens eine, hoffentlich mehrere Stunden.;"Internet; Ein gutes Essen; Deine Freunde";Einen guten Appetit!;False;False
jederzeit;Remote Spaziergang;remote_walk.jpg;Macht einen gemeinsamen Remote-Spaziergang. Jeder Eurer Freunde geht für sich spazieren und Ihr verbindet Euch dabei per Video-Anruf. Dadurch könnt Ihr den anderen Teilnehmern schöne Dinge in der Natur oder in Eurer Stadt zeigen.;False;Keep in Touch@StayAtHome;In eurer Stadt;2+ Personen. Je mehr desto besser.;Abh&aumlngig von Dir!;"Ein mobiles Gerät mit Internetzugang; Skype, WhatsApp, Zoom, o.ä.";Haltet Euch dabei jedoch bitte an die aktuellen Bestimmungen in Eurem Bundesland.;False;False
jederzeit;Gemeinsames Video-Kochen;remote_cook.jpg;Holt euch Eure Freunde per Video-Anruf in Eure Küche und kocht Euer Lieblingsgericht zusammen.;False;Keep in Touch@StayAtHome;Zu Hause;2+ Personen. Je mehr desto besser.;Abh&aumlngig von Dir!;"Deine Küche; Zutaten; Ein videofähiges Ger&aumlt mit Internetzugang; Skype, WhatsApp, Zoom, o.ä.";;False;False
jederzeit;Autokino;autokino.jpg;Autokino ist altmodisch? Seit der Corona-Zeit nicht mehr! Gehe mit Deinen Freunden ins Autokino und schaut Euch einen Film zusammen an…natürlich jeder für sich in seinem Auto.;False;Keep in Touch@StayAtHome;In einem Autokino in Deiner Nähe;1+ Personen;ca. 2 Stunden;"Ein Auto; Ein Autokino ein deiner Nähe";Haltet Euch dabei jedoch bitte an die aktuellen Bestimmungen in Eurem Bundesland.;False;False
jederzeit;Stelle Seife selber her;seife.jpg;"Du hättest nie daran gedacht, einmal Deine eigene Seife herzustellen? Eigentlich ist das gar nicht so kompliziert. Versuche es doch einfach mal: <a href=""https://utopia.de/ratgeber/seife-selber-machen-anleitung-mit-natuerlichen-zutaten/"">Tutorial</a>.";False;Productive@StayAtHome;Zu Hause;1+ Personen;1 bis 2 Stunden;"Kernseife; Duftöl oder Gewürz";;False;False
jederzeit;Probier ein neues Rezept;kochen_rezept.jpg;"Wir hatten noch nie so viel Zeit zu Hause als in der aktuellen Phase. Warum dann nicht einfach ein neues Rezept beim Backen oder Kochen ausprobieren? Leg am Besten gleich los und lass Dich z. B. bei <a href=""https://www.chefkoch.de/"">Chefkoch.de</a> inspirieren.";False;Productive@StayAtHome;Zu Hause;1+ Personen;1 bis 2 Stunden;"Ein Rezept; Deine Küche; Die Zutaten";Guten Appetit!;False;False
jederzeit;Räume Deinen Keller auf;keller.jpg;Du hast Dich bisher erfolgreich davor gedrückt Deinen Keller aufzuräumen? Na dann ist jetzt die beste Zeit, um endlich ein wenig Ordnung in Deinen Keller zu bringen. Nimm Dir doch die Zeit, räume auf und sortiere eventuell sogar Dinge aus, die Du nicht mehr brauchst, ein anderer jedoch gut gebrauchen kann.;False;Productive@StayAtHome;Zu Hause;1 Person;Bis zu einem Tag;Einen Keller;Du wirst es nicht bereuen!;False;False
jederzeit;Home Sport oder Home Yoga;home_sports.jpg;Du bist schon länger zu Hause und Dir fehlt ein wenig Bewegung? Probiere doch einfach mal Home Sports oder Yoga aus. Lass Dich dabei auf Youtube von dem großen Angebot inspirieren. Jedes Fitnesslevel kommt hier auf seine Kosten!;False;Productive@StayAtHome;Zu Hause;1 Person;Bis zu einer Stunde;Ein wenig Platz bei Dir zu Hause;Du wirst es nicht bereuen!;False;False
